book_id,title,author,isbn13,avg_rating,publisher,pages,year
764165,The Snow Leopard,Peter Matthiessen,9780140255089,4.08,Penguin Books,352,1987
13335037,"Divergent (Divergent, #1)",Veronica Roth,9780062024039,4.18,Katherine Tegen Books,487,2012
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,9780439023481,4.32,Scholastic Press,374,2008
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,9780679879244,3.99,Alfred A. Knopf Books for Young Readers,399,1996
532069,Pink and Say,Patricia Polacco,9780399226717,4.49,Philomel Books,48,1994
108077,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,9780440228004,3.97,Laurel Leaf,224,2000
19469,"The Face on the Milk Carton (Janie Johnson, #1)",Caroline B. Cooney,9780385323284,3.72,Delacorte Press,192,1996
6969,Emma,Jane Austen,9780141439587,4.02,Penguin Books,474,2003
2956,The Adventures of Huckleberry Finn,Mark Twain,9780142437179,3.82,Penguin Classics,327,2002
24335,The Trumpet of the Swan,E.B. White,9780064408677,4.08,HarperTrophy,252,2000
8337,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,9780060885373,4.18,HarperTrophy,198,2007
1934,Little Women,Louisa May Alcott,9780451529305,4.1,Signet Classics,449,2004
5107,The Catcher in the Rye,J.D. Salinger,9780316769174,3.81,Back Bay Books,277,2001
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,9780316204361,3.95,"Little, Brown and Company",305,2013
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,9781594488849,3.94,Riverhead Books,242,2009
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,9780316346627,3.98,Back Bay Books,301,2002
